Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
ST,SSE EVANKA,P:12501246,VOLVO,unknown,Up to B30,Compatible with B30,unknown,331, ,Inboard,Diesel,59,15,6,2.7,,2006,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE FRANCIS,371251,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,372,Motor,Inboard,Diesel,237,28,10,3,,1997,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE IGNATIUS,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1254,52,22,3.7,1225,1999,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE IMELDA,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,258,35.1,12.1,2.4,,2013,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE INDIANA,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,307,28.8,16.8,2.4,,2013,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE JANNA,90901009016,STEYR,WO615 MARINE,unknown,No Data Available,Not Conclusive,233, ,Inboard,Diesel,102,24,5,3,,1985,SINGAPORE AQUACULTURE TECHNOLOGIES P L
SR,SSE JEROME,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1800,64.2,27,4.8,,2013,SINGAPORE SALVAGE ENGINEERS PL
ST,SSE JOANNE,4TB05491,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,283, ,Inboard,Diesel,89,18.8,6.4,2.8,,1996,SSE MARINE PTE LTD
SR,SSE JUNIOR,3931,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,103, ,Inboard,Diesel,10,8.5,3.2,1.2,,1984,SINGAPORE SALVAGE ENGINEERS PL
ST,SSE LUCIA,P:4TB00288,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,240, ,Inboard,Diesel,50,15.7,5.6,2.8,,1984,SINGAPORE SALVAGE ENGINEERS PL
