Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
SC,STK 2,P:222392,MITSUBISHI,,Up to B30,,180, ,Inboard,Diesel,26,13.5,3.8,1.8,,2012,SEATANK PTE LTD
ST,STK 3,P-11513486,CUMMINS,,Up to B20,,0, ,Inboard,Diesel,45,14.5,5.5,2,,2009,STK MARINE PTE LTD
ST,STK 5,11164055,CUMMINS,,Up to B20,,275, ,Outboard,Diesel,45,14.5,5.5,2,,2011,BAN HARBOUR TUG SVS PTE LTD
ST,STK 7,G:9124002355,SHANGHAI DIESEL,G128 Diesel Engine,Up to B30,,280,Motor,Inboard,Diesel,50,14.6,6,2,,2013,KMT HOLDING PTE LTD
SC,STK 8,13D003566,WEI CHAI,,Up to B30,,190, ,Inboard,Diesel,26,13.5,3.8,1.8,,2013,SEATANK PTE LTD
,STL B230 2,,,,,Not Conclusive,,,,,1452,70.1,19.5,4.3,,2014,HP INFRA MARINE PTE LTD
SR,STL B3,,,,,Not Conclusive,,,,,1452,77.1,34.5,17.5,,2014,SANTARLI CONSTRUCTION PTE LTD
SR,STL B5,,,,,Not Conclusive,,,,,1452,77,34.5,17.5,,2015,DIKA SHIPPING PTE LTD
SR,STL B6,,,,,Not Conclusive,,,,,1452,77,34.5,17.5,,2015,DIKA SHIPPING PTE LTD
SR,STL B7,,,,,Not Conclusive,,,,,1452,77,34.5,17.5,,2015,DIKA SHIPPING PTE LTD
SR,STL B8,,,,,Not Conclusive,,,,,1452,77.1,34.5,17.5,,2015,DIKA SHIPPING PTE LTD
SR,STL B9,,,,,Not Conclusive,,,,,1452,77.1,34.5,17.5,,2015,DIKA SHIPPING PTE LTD
SR,STL H1,p:41208244,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1519,64.9,13.8,5.2,,2014,STL V MARINE PTE LTD
SR,STL H11,41232203,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1552,64.9,13.8,5.2,,2014,STL V MARINE PTE LTD
SR,STL H16,41213111,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1552,64.9,13.8,5.2,,2015,STL V MARINE PTE LTD
SR,STL H17,41228895,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1552,68.9,13.8,5.2,,2015,SANTARLI MARINE PTE LTD
SR,STL H18,41230260,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1552,68.9,13.8,5.2,513,2015,STL V MARINE PTE LTD
SR,STL H2,P:41208246,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1519,64.9,13.8,5.2,,2014,STL V MARINE PTE LTD
SR,STL H20,41231843,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1519,64.9,13.8,5.2,2381,2015,SANTARLI MARINE PTE LTD
SR,STL H3,41208241,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1519,68.9,13.8,5.2,,2014,STL V MARINE PTE LTD
SR,STL H4,41208242,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1552,64.9,13.8,5.2,,2014,STL V MARINE PTE LTD
SR,STL H9,41230262,CUMMINS,,Up to B20,,596,Motor,Inboard,Diesel,1552,64.9,13.8,5.2,,2014,STL V MARINE PTE LTD
SR,STL P1,1214L052939,WEI CHAI,,Up to B30,,147,Motor,Inboard,Diesel,22,14.5,3.8,1.4,,2015,SANTARLI MARINE PTE LTD
SR,STL P2,1215B007829,WEI CHAI,,Up to B30,,147,Motor,Inboard,Diesel,19,14.5,3.8,1.2,,2015,SANTARLI CONSTRUCTION PTE LTD
SP,STL P3,1215D011429,WEI CHAI,,Up to B30,,149,Motor,Inboard,Diesel,22,14.5,3.8,1.4,,2015,HP INFRA MARINE PTE LTD
ST,STL PT 1,R4001,YANMAR,,"Up to B100, without modification",,485,Motor,Inboard,Diesel,147,22,7.4,3.1,,2013,STL V MARINE PTE LTD
ST,STL PT 2,4440,YANMAR,,"Up to B100, without modification",,610,Motor,Inboard,Diesel,197,24.4,8,3.7,,2013,STL V MARINE PTE LTD
ST,STL PT 3,5994,YANMAR,6AYM-WST,"Up to B100, without modification",,485,Motor,Inboard,Diesel,147,22,7.4,3.1,,2015,HP INFRA MARINE PTE LTD
SR,STL PT4,41235028,CUMMINS,K19-M,Up to B20,,373,Motor,Inboard,Diesel,51,14.3,5.5,2.5,,2018,SANTARLI CONSTRUCTION PTE LTD
SR,STL V,1068005,CUMMINS,,Up to B20,,392, ,Inboard,Diesel,1146,63,14.5,3.5,,2009,STL V MARINE PTE LTD
SR,STL WB 120 1,,,,,Not Conclusive,,,,,258,35.2,13,2.5,,2016,SANTARLI CONSTRUCTION PTE LTD
SR,STL WB 120 2,,,,,Not Conclusive,,,,,258,35.2,13,2.5,,2016,SANTARLI CONSTRUCTION PTE LTD
SR,STL WB1,,,,,Not Conclusive,,,,,135,30.5,11,2.4,,2015,SANTARLI CONSTRUCTION PTE LTD
SR,STL WB180 7,,,,,Not Conclusive,,,,,923,54.9,18.3,3.7,,2016,SANTARLI CONSTRUCTION PTE LTD
SR,STL WB2,,,,,Not Conclusive,,,,,916,52.6,18.2,3.6,,2006,SANTARLI CONSTRUCTION PTE LTD
SR,STL WB6,,,,,Not Conclusive,,,,,1050,54.9,18.3,3.7,,2015,SANTARLI CONSTRUCTION PTE LTD
,STRAITS ABUNDANCE,6DKM-26F,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,3284, ,Inboard,Diesel,4081,95.3,18,8.8,2000,2005,STRAITS BUNKERING PTE LTD
,STRAITS BRILLIANCE,41157477,CUMMINS,,Up to B20,,671,Motor,Inboard,Gas Oil,2239,74.2,15.3,6.9,3605,2010,STRAITS BUNKERING PTE LTD
,STRAITS ETERNITY,6629,YANMAR,6AYM-WST,"Up to B100, without modification",,485,Motor,Inboard,Diesel,495,42.2,10.2,4.3,781,2016,STRAITS BUNKERING PTE LTD
,STRAITS GRACIOUS,AQ6K201038,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,956, ,Inboard,Diesel,4062,91.9,17,8.8,5518,2012,STRAITS BUNKERING PTE LTD
SB,STRAITS HARMONY,41168970,CUMMINS,,Up to B20,,895,Motor,Inboard,Gas Oil,1999,65,14.3,7.2,2960,2012,STRAITS BUNKERING PTE LTD
,STRAITS INTEGRITY,8146,MAN,,Up to B30,,960, ,Inboard,Diesel,4066,97.1,16.8,8.6,6020,2008,STRAITS BUNKERING PTE LTD
,STRAITS JUBILANT,FHR0158,YANMAR,,"Up to B100, without modification",,1471, ,Inboard,Diesel,4419,87.5,17.5,9,7203,2007,STRAITS BUNKERING PTE LTD
,STS TUG 23A,ME21400,NIIGATA,,,Not Conclusive,1119, ,Inboard,Diesel,234,26.4,8.6,4.7,120,1995,KST MARITIME PTE. LTD.
SR,SUBSEA 1,TC 11726,HINO,,,Not Conclusive,185, ,Inboard,Diesel,37,14,4,2.3,,1985,SINGAPORE SUBSEA ENGRG &AMP; MARINE
,SUN 108,1422E019050,WEI CHAI,,Up to B30,,330,Motor,Inboard,Diesel,28,14.5,3.7,1.8,,2023,SUN CRUISER PTE LTD
SC,SUN 68,A11479,HINO,,,Not Conclusive,280, ,Inboard,Diesel,28,14.5,3.8,1.8,,2010,SUN CRUISER PTE LTD
SC,SUN 88,B12099,HINO,,,Not Conclusive,280, ,Inboard,Diesel,22,14.5,3.8,1.4,,2013,SUN CRUISER PTE LTD
SC,SUN 98,996161,HINO,,,Not Conclusive,149,Motor,Inboard,Diesel,30,14.5,4,1.8,,2016,SUN CRUISER PTE LTD
SC,SUN ACE,1218E005162,WEI CHAI,,Up to B30,,240,Motor,Inboard,Diesel,32,14.2,4.4,2.1,,2018,SUN CRUISER PTE LTD
SC,SUN BIS,1219E003800,WEI CHAI,WD10C326-21,Up to B30,,240,Motor,Inboard,Diesel,32,14.2,4.4,2.1,,2019,SUN CRUISER PTE LTD
,SUN CRU,1421F062572,WEI CHAI,WP12C500-21,Up to B30,,368,Motor,Inboard,Diesel,32,14.2,4.4,2.1,,2021,SUN CRUISER PTE LTD
SC,SUN POWER,3013630,CUMMINS,,Up to B20,,187,Motor,Inboard,Diesel,34,18.8,4.4,1.4,,2005,R W MARINE SERVICES PTE LTD
SC,SUN RIDER,67D2104,CATERPILLAR,,"Up to B100, dealer consultation required",,160,Motor,Inboard,Diesel,48,17.1,3.9,2.6,,1978,RUI WAN MARINE SERVICES PTE LTD
SC,SUN ROVER,10933924,CUMMINS,,Up to B20,,350, ,Inboard,Diesel,49,15.1,5,2.3,20,1998,RUI WAN MARINE SERVICES PTE LTD
SC,SUN ROYAL,37151072,CUMMINS,,Up to B20,,273, ,Inboard,Diesel,40,18.2,5,2.3,,2000,RUI WAN MARINE SERVICES PTE LTD
SC,SUNFLOWER,41185860,CUMMINS,,Up to B20,,194, ,Inboard,Diesel,50,18.9,5.6,2.2,,2013,AMOS INTERNATIONAL (S) PTE LTD
SC,SUNLIGHT ARTEMIS,41236298,CUMMINS,KTA 19 M,Up to B20,,351,Motor,Inboard,Diesel,76,22.4,5.5,2.8,76,2017,R W MARINE SERVICES PTE LTD
SC,SUNLIGHT ATHENA,V22C A-10900,MITSUBISHI,,Up to B30,,190,Motor,Inboard,Diesel,42,16.2,4.6,2,,2004,R W MARINE SERVICES PTE LTD
,SUNLIGHT AURORA,41310465,CUMMINS,KTA 19-M,Up to B20,,351,Motor,Inboard,Diesel,76,22.4,5.5,2.8,,2021,R W MARINE SERVICES PTE LTD
SC,SUNLIGHT EROS,P:B11438,HINO,,,Not Conclusive,190, ,Inboard,Diesel,42,16.2,4.6,2,,2004,R W MARINE SERVICES PTE LTD
SC,SUNLIGHT HELIOS,3900206201,MAN,,Up to B30,,190, ,Inboard,Diesel,37,16.5,4.5,2,,2014,R W MARINE SERVICES PTE LTD
SC,SUNLIGHT HERMES,288750,MITSUBISHI,,Up to B30,,175, ,Inboard,Diesel,39,17.5,4.2,1.8,,2015,R W MARINE SERVICES PTE LTD
,SUNLIGHT LUNA,41310463,CUMMINS,KTA 19-M,Up to B20,,351,Motor,Inboard,Diesel,76,22.4,5.5,2.8,,2021,R W MARINE SERVICES PTE LTD
SC,SUNLIGHT NIKE,41271565,CUMMINS,,Up to B20,,351,Motor,Inboard,Diesel,76,22.4,5.5,2.8,,2018,R W MARINE SERVICES PTE LTD
SC,SUNLIGHT POSEIDON,3013830,CUMMINS,,Up to B20,,194, ,Inboard,Diesel,48,16.8,5,2.5,,2007,R W MARINE SERVICES PTE LTD
SR,SUPERLITE 33,A15999,HINO,,,Not Conclusive,284, ,Inboard,Diesel,28,15,4,1.6,,2012,COMMERCIAL DIVING SVCS (S) P L
SR,SUPERLITE 8,154226,CUMMINS,,Up to B20,,298,Motor,Inboard,Diesel,42,17,4.8,1.8,,2012,COMMERCIAL DIVING SVCS (S) P L
SR,SUPERLITE 88,(P)41832349,CUMMINS,,Up to B20,,448,Motor,Inboard,Diesel,67,20,5.6,2.1,,2016,COMMERCIAL DIVING SVCS (S) P L
,SUPERLITE 99,11423723,CUMMINS,,Up to B20,,223,Motor,Inboard,Diesel,34,16.5,4.5,1.6,,2023,COMMERCIAL DIVING SVCS (S) P L
SB,SUPREME,41126000,CUMMINS,,Up to B20,,441, ,Inboard,Diesel,710,40.4,11.8,5.2,670,2009,SINO TANKERS PTE LTD
SR,SUPREME 20,1008959,YAMAHA,,,Not Conclusive,150,Motor,Outboard,Petrol,3,6.1,2.2,0.6,,2015,THOUSAND EFFORT
SR,SURVEYOR2,00601F-984115,SUZUKI,DF6,,Not Conclusive,4,Motor,Outboard,Petrol,1,3.5,1.4,0.7,,1998,UNITED SURVEYORS PTE LTD
SC,SW 241,,,,,Not Conclusive,,,,,1833,70.3,21.4,4.9,,2013,LOGOS MARINE PTE PTE LTD
SC,SW 242,,,,,Not Conclusive,,,,,1833,70.3,21.4,4.9,,2013,LOGOS MARINE PTE PTE LTD
SC,SWIFT EAGLE,5063891,MAN,D2876LE402,Up to B30,,550,Motor,Inboard,Diesel,80,23.7,6,2.5,,2015,SWIFT TOTAL LOGISTICS PTE LTD
SC,SWIFT HAWK,4432,YANMAR,,"Up to B100, without modification",,441,Motor,Inboard,Diesel,73,23.7,6,2.5,,2017,SWIFT TOTAL LOGISTICS PTE LTD
,SWIFT SPARROW,6107,YANMAR,6HYM-WET,"Up to B100, without modification",,441,Motor,Inboard,Diesel,79,24.2,6.1,2.6,,2021,SWIFT TOTAL LOGISTICS PTE LTD
SP,SYMPHONY,N21-020914,YAMAHA,,,Not Conclusive,246, ,Inboard,Diesel,54,18.3,4.9,2.1,,1994,NYC OUTWARD BOUND SINGAPORE
,SYNERGY,1413S048254,WEI CHAI,,Up to B30,,258,Motor,Inboard,Diesel,397,36.6,10,4,507,2013,SINGFAR LOGISTICS PTE LTD
ST,SYUKUR,25110,MITSUBISHI,,Up to B30,,442, ,Inboard,Diesel,169,24.6,7.6,3.8,,1998,CHEVIOT MARINE SERVICES PTE LTD
ST,T S 1,11665093,CUMMINS,,Up to B20,,260, ,Inboard,Diesel,31,13.6,4.2,1.9,,1981,HUP LEE MARINE SERVICES PTE LTD
SR,TAIRYU GO,,,,,Not Conclusive,,,,,619,43,17,3,,1994,OUNG MARINE SERVICES (S) PTE LTD
SR,TAIRYU MARU NO 8,16099,YANMAR,6HAK,"Up to B100, without modification",,122,Motor,Inboard,Diesel,9,9.5,3,1.1,,1994,OUNG MARINE SERVICES (S) PTE LTD
SR,TAKLIFT 7,5153684,DEUTZ,SBF16M716,,Not Conclusive,500,Motor,Inboard,Diesel,3343,69.2,30,5.5,,1976,SMIT SINGAPORE PTE LTD
SR,TARVOS,,,,,Not Conclusive,,,,,1513,50.9,22,4,,1998,ANTARA KOH PTE LTD
,TECHWAYS SERVICE,548790/049,MAN,,Up to B30,,356, ,Inboard,Diesel,31,12.5,4.1,2.1,,1990,TECHWAYS TECHNICAL SVC SUPPLY PL
SC,TECK HEE,161363,MITSUBISHI,,Up to B30,,164, ,Inboard,Diesel,20,12.5,3.5,1.6,,2002,TEO MAH HEE
SC,TEKONG 1,6130302,WEI CHAI,,Up to B30,,190, ,Inboard,Diesel,37,14.5,4.5,2,,2011,YORK LAUNCH SERVICE PTE LTD
SC,TEKONG 2,6110843,WEI CHAI,,Up to B30,,190, ,Inboard,Diesel,31,13.5,4,2,,2012,YORK LAUNCH SERVICE PTE LTD
SR,TEKONG 3,6140029,WEI CHAI,,Up to B30,,190, ,Inboard,Diesel,26,13.5,3.8,1.8,,2012,YORK LAUNCH SERVICE PTE LTD
SC,TEKONG 4,512J014630,WEI CHAI,,Up to B30,,160, ,Inboard,Diesel,26,13.5,3.8,1.8,,2013,YORK LAUNCH SERVICE PTE LTD
SC,TEKONG 6,16140029,WEI CHAI,,Up to B30,,190,Motor,Inboard,Diesel,27,14,3.8,1.8,,2016,YORK LAUNCH SERVICE PTE LTD
SC,TEKONG 7,D918A013508,SHANGHAI DIESEL,D683,Up to B30,,190,Motor,Inboard,Diesel,31,13.5,4,2,,2020,YORK LAUNCH SERVICE PTE LTD
SR,TELESTO,,,,,Not Conclusive,,,,,2026,61,25,4.2,,2013,CAPITOL SHIPPING PTE LTD
SC,TENG HAI,,,,,Not Conclusive,,,,,11,11.5,2.7,1.2,,2004,YEO SOON THONG
SR,TERANG 18,,,,,Not Conclusive,,,,,630,52.7,15.2,3.5,,1989,ANTARA KOH PTE LTD
,TERRA PLANA,SDN01022,CATERPILLAR,C32,"Up to B100, dealer consultation required",,746,Motor,Inboard,Gas Oil,498,37.9,12,4.1,498,2016,BOSKALIS INT&#39;L (S) PTE LTD
,TERRAFERRE 701,,,,,Not Conclusive,,,,,8596,129,26,9.1,21630,2009,BOSKALIS INT&#39;L (S) PTE LTD
,TERRAFERRE 702,,,,,Not Conclusive,,,,,8596,128.6,26,9.1,,2009,BOSKALIS INT&#39;L (S) PTE LTD
SB,THAMES,20098058,YANMAR,,"Up to B100, without modification",,3310, ,Inboard,Petrol,4758,110,17.6,8.8,7420,2009,GEA-TANGO PTE LTD
,THETIS 99,,,,,Not Conclusive,,,,,76,16.7,11.9,1.6,,2021,MARINE MASTER TECHNOLOGY PTE. LTD.
SR,THOUSAND EFFORT,91740,ISUZU,,,Not Conclusive,260, ,Inboard,Diesel,31,14.6,3.5,2.1,,1997,ZAINOL BIN AWANG
SR,TIAN SAN 20,,,,,Not Conclusive,,,,,135,29.2,9.1,1.8,,1993,TIAN SAN SHIPPING PTE LTD
SC,TIAN SAN CARRIER 5,P 03407,CATERPILLAR,,"Up to B100, dealer consultation required",,283, ,Inboard,Diesel,339,42,15,2.6,,1992,TIAN SAN SHIPPING PTE LTD
SC,TIAN SAN CARRIER VI,P:99U08706,CATERPILLAR,,"Up to B100, dealer consultation required",,298, ,Inboard,Diesel,369,40.4,14,2.6,,1996,TIAN SAN SHIPPING PTE LTD
SC,TIAN SAN CARRIER VII,6HYM-WET 5170,YANMAR,,"Up to B100, without modification",,368,Motor,Inboard,Diesel,435,41.5,15.3,2.8,,2019,TIAN SAN SHIPPING PTE LTD
,TICO CAPRICORN,42145712,CUMMINS,,Up to B20,,477,Motor,Inboard,Diesel,879,50.9,12,4.9,1124,2016,TTM MARINE PTE LTD
SR,TIDE HUNTER,JKX00169,CATERPILLAR,,"Up to B100, dealer consultation required",,847, ,Inboard,Diesel,23,15.5,4.7,1.8,,2010,ST ENGINEERING ELECTRONICS LTD
SR,TIGA DARE,E44316,HINO,,,Not Conclusive,175, ,Inboard,Diesel,13,12.1,3,1.2,,1999,DARE ENGINEERING PTE LTD
,TINMAN,2B145493,MERCURY,,,Not Conclusive,67,Motor,Outboard,Petrol,1,5.5,1.7,0.4,,1991,SAF YACHT CLUB
SC,TIONG WOON 31,,,,,Not Conclusive,,,,,302,41,12.2,2.5,,2007,TW (SABAH) PTE LTD
,TIONG WOON 50 140,,,,,Not Conclusive,,,,,302,41,12.2,2.5,,2011,TW (SABAH) PTE LTD
ST,TIONG WOON OCEAN 6,37143019,CUMMINS,,Up to B20,,372,Motor,Inboard,Diesel,110,21.8,7,2.9,,1994,TW (SABAH) PTE LTD
,TNC SANCTUARY,6d179623274,MITSUBISHI,,Up to B30,,270,Motor,Inboard,Diesel,17,12,3,1.6,,1997,ISKANDAR MUHAMMAD
SP,TOMBAK,134855,Gino,F20,,Not Conclusive,142, ,Inboard,Diesel,17,12,3.2,1.5,,1982,MUHAMMAD NOR BIN ISMAIL
,TORBEN R EXCELLENCE,,,,,Not Conclusive,,,,,3,4,1.6,1.6,,2018,HEMPEL (SINGAPORE) PTE LTD
SB,TRANSLUB,T2P01872,CATERPILLAR,,"Up to B100, dealer consultation required",,339, ,Inboard,Diesel,178,24.4,7.5,3.8,,2012,TRANSLUB MARINE PTE LTD
SB,TRANSWIFT,37259637,CUMMINS,KTA50-M3,Up to B20,,447,Motor,Inboard,Diesel,219,28.5,8,3.8,255,2013,TRANSLUB MARINE PTE LTD
SR,TRAVERSE TEC 1,515998,MITSUBISHI,,Up to B30,,283, ,Inboard,Diesel,21,14.3,3.4,1.5,,1997,WATER WORLD MARINE PTE LTD
,TRES 01,1421H071132,WEI CHAI,WP12C450-21,Up to B30,,330,Motor,Inboard,Diesel,32,14.2,4.4,2.1,,2022,TRES MARINE SERVICE PTE LTD
,TRES 02,1218S007674,WEI CHAI,,Up to B30,,240,Motor,Inboard,Diesel,32,14.2,4.4,2.1,,2018,TRES MARINE SERVICE PTE LTD
,TRIJNTJE,,,,,Not Conclusive,,,,,1008,52.7,18.3,3.7,,2000,CATERMAS ENGINEERING PTE LTD
,TROPICAL ISLAND,,,,,Not Conclusive,,,,,1469,67.3,19.5,4.2,,2007,EWAN MARINE PTE LTD
